# average of cb1bs3_ax6  001  .. 005
#------------------------
#   energy      xmu       norm
  11979.950       0.97020638        1.0383894
  11982.070       0.96369010        1.0310846
  11984.260       0.94721520        1.0124285
  11986.320       0.94020991        1.0045625
  11988.450       0.92472861       0.98703580
  11990.640       0.93092721       0.99423343
  11992.830       0.91340475       0.97438281
  11995.020       0.91089623       0.97165203
  11997.210       0.89877452       0.95795969
  11999.470       0.90527624       0.96550709
  12001.730       0.90206169       0.96197539
  12003.990       0.89765805       0.95708783
  12006.310       0.90508537       0.96569421
  12008.630       0.90295881       0.96340666
  12010.950       0.90508114       0.96596396
  12013.280       0.90300824       0.96373818
  12015.670       0.90696827       0.96839510
  12018.050       0.91160138       0.97381889
  12020.450       0.91560108       0.97852162
  12022.900       0.91252441       0.97515839
  12025.290       0.90837954       0.97057357
  12027.810       0.91726583       0.98085540
  12030.330       0.91696425       0.98066065
  12032.790       0.91544492       0.97907378
  12035.310       0.92095025       0.98550043
  12037.900       0.91918608       0.98364207
  12040.420       0.92006169       0.98478962
  12043.010       0.93707822        1.0043462
  12045.540       0.91919368       0.98410284
  12048.250       0.93149809       0.99829346
  12050.910       0.92750346       0.99389594
  12053.500       0.93080841       0.99781772
  12056.160       0.92585916       0.99233167
  12058.940       0.92820485       0.99517089
  12061.600       0.92796846       0.99505874
  12064.390       0.92440504       0.99116061
  12067.050       0.92200622       0.98858272
  12069.910       0.92872038       0.99640788
  12072.640       0.91904154       0.98553301
  12075.490       0.92186259       0.98891839
  12078.350       0.92201001       0.98925572
  12081.210       0.92261239       0.99011184
  12084.070       0.91859694       0.98570241
  12086.930       0.91388386       0.98049750
  12089.860       0.92142461       0.98926932
  12092.790       0.91917985       0.98688309
  12095.720       0.91038603       0.97702920
  12098.710       0.90585546       0.97204010
  12101.640       0.91533875       0.98302693
  12104.640       0.90249752       0.96856206
  12107.710       0.90015009       0.96606705
  12110.710       0.89641561       0.96198629
  12113.770       0.90319938       0.96990264
  12116.780       0.89679176       0.96277438
  12119.980       0.88950552       0.95465551
  12123.110       0.89127458       0.95685793
  12126.250       0.89028548       0.95591590
  12129.390       0.88169028       0.94630092
  12132.530       0.88633490       0.95178283
  12135.730       0.88131791       0.94625149
  12138.940       0.88745176       0.95343565
  12142.210       0.88157199       0.94692467
  12145.420       0.87842972       0.94353160
  12148.700       0.87678143       0.94184622
  12151.920       0.88415154       0.95044063
  12155.260       0.87562663       0.94091762
  12158.540       0.87656863       0.94218584
  12161.890       0.87597395       0.94170600
  12165.240       0.87948083       0.94590300
  12168.730       0.87166723       0.93719996
  12172.140       0.87796275       0.94458029
  12175.570       0.86413773       0.92901911
  12178.990       0.86571866       0.93102416
  12182.410       0.86202361       0.92701321
  12185.840       0.87106394       0.93752453
  12189.330       0.86554417       0.93143706
  12192.960       0.87199864       0.93901166
  12196.390       0.86694454       0.93345163
  12200.020       0.86065773       0.92649782
  12203.590       0.86656016       0.93343940
  12207.160       0.85943558       0.92552676
  12210.790       0.86038474       0.92682385
  12214.430       0.85721351       0.92342322
  12218.130       0.86342511       0.93072502
  12221.780       0.85660473       0.92316398
  12225.490       0.84747148       0.91296921
  12229.200       0.84715421       0.91282699
  12232.910       0.85104190       0.91747952
  12236.630       0.84537666       0.91123979
  12240.410       0.84581006       0.91195765
  12244.130       0.83273189       0.89726523
  12247.990       0.83494411       0.90001616
  12251.850       0.84101087       0.90716227
  12255.570       0.83958738       0.90575926
  12259.440       0.83250436       0.89791176
  12263.360       0.83274562       0.89841882
  12267.230       0.82409240       0.88878088
  12271.230       0.81629339       0.88012466
  12275.100       0.82006818       0.88465792
  12278.980       0.80523957       0.86797901
  12283.050       0.81568701       0.88013267
  12287.060       0.80821479       0.87184967
  12291.070       0.81121514       0.87550815
  12295.160       0.80643462       0.87029913
  12299.170       0.80714146       0.87134241
  12303.260       0.80511764       0.86927674
  12307.350       0.80571288       0.87019750
  12311.440       0.81410551       0.88000933
  12315.610       0.78661739       0.84891240
  12319.640       0.79706886       0.86106830
  12323.800       0.79151296       0.85497928
  12328.040       0.79199368       0.85577834
